                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8912,                 2.9167,                 1.3654,                0.41275,                0.11456,                0.18834,                0.08763,                 1.7092,                 3.5204,                  1.223,             0.00065152,             0.00065152,             0.00065152
                      2,                  1.772,                 2.0943,                 1.2977,                0.00543,                0.77804,                0.00831,                0.00401,                 1.7973,                 6.1711,                  1.423,              0.0012856,              0.0012856,              0.0012856
                      3,                 1.8282,                 1.9521,                 1.3388,                0.48072,                0.32458,                0.30825,                 0.1374,                 1.8709,                 2.6166,                 1.4271,              0.0018866,              0.0018866,              0.0018866
                      4,                 1.7933,                 1.8569,                 1.3228,                 0.4715,                0.46062,                0.43134,                0.20126,                 1.9195,                  2.172,                 1.5629,              0.0018515,              0.0018515,              0.0018515
                      5,                 1.8195,                 1.7795,                 1.3199,                0.67238,                0.42482,                0.52714,                 0.2469,                 1.8111,                 2.0612,                 1.3761,              0.0018515,              0.0018515,              0.0018515
                      6,                 1.7718,                 1.7114,                 1.3218,                0.60174,                0.56086,                0.56677,                 0.2859,                 1.7004,                 1.7879,                 1.3223,               0.001802,               0.001802,               0.001802
                      7,                 1.7444,                 1.5709,                 1.3055,                0.47112,                0.49165,                0.45709,                0.21163,                 1.7749,                 2.1416,                 1.3642,              0.0017525,              0.0017525,              0.0017525
                      8,                 1.7235,                 1.5669,                 1.3189,                0.57949,                0.47255,                0.51591,                0.26865,                 1.6943,                 1.7896,                 1.3607,               0.001703,               0.001703,               0.001703
                      9,                 1.7399,                  1.533,                 1.3081,                  0.608,                0.54893,                0.58572,                0.28732,                 1.6884,                 1.8315,                 1.3153,              0.0016535,              0.0016535,              0.0016535
                     10,                 1.7159,                 1.5185,                 1.2991,                0.58397,                0.50586,                0.53745,                0.28219,                 1.6911,                 1.6553,                 1.3089,               0.001604,               0.001604,               0.001604
                     11,                 1.7303,                 1.4313,                 1.2851,                  0.531,                0.59666,                0.56345,                0.28443,                 1.6917,                 1.6938,                 1.3245,              0.0015545,              0.0015545,              0.0015545
                     12,                 1.6944,                 1.4456,                 1.2991,                0.62457,                0.54893,                 0.5886,                0.30656,                 1.6982,                  1.496,                 1.3179,               0.001505,               0.001505,               0.001505
                     13,                 1.6868,                 1.4391,                 1.2783,                0.61643,                0.53699,                0.58448,                0.29081,                 1.6742,                 1.5141,                 1.3421,              0.0014555,              0.0014555,              0.0014555
                     14,                 1.6817,                 1.4116,                 1.2835,                0.61316,                0.56802,                0.60408,                0.30903,                 1.7015,                 1.4951,                 1.3285,               0.001406,               0.001406,               0.001406
                     15,                 1.6819,                 1.3619,                 1.2574,                0.61145,                0.53331,                0.55756,                0.28946,                 1.7406,                 1.5812,                 1.3349,              0.0013565,              0.0013565,              0.0013565
                     16,                 1.6865,                 1.3511,                 1.2626,                0.60581,                0.57995,                0.59872,                0.30372,                 1.6476,                 1.4784,                 1.3115,               0.001307,               0.001307,               0.001307
                     17,                 1.6812,                 1.3271,                 1.2635,                 0.6515,                0.52202,                0.59836,                0.30956,                   1.68,                 1.4832,                 1.3157,              0.0012575,              0.0012575,              0.0012575
                     18,                 1.6354,                 1.2839,                 1.2551,                0.56685,                0.58711,                0.58019,                0.29719,                 1.7441,                 1.5457,                 1.3339,               0.001208,               0.001208,               0.001208
                     19,                 1.6528,                 1.2949,                 1.2579,                0.58193,                0.59133,                 0.6016,                0.30409,                 1.7149,                 1.4384,                 1.3382,              0.0011585,              0.0011585,              0.0011585
                     20,                  1.656,                 1.2923,                 1.2571,                0.58267,                0.59666,                0.60378,                0.30219,                 1.7138,                 1.4831,                 1.3564,               0.001109,               0.001109,               0.001109
                     21,                 1.6444,                 1.2633,                 1.2563,                0.52926,                0.48687,                0.53251,                0.27678,                 1.7722,                 1.8534,                 1.3808,              0.0010595,              0.0010595,              0.0010595
                     22,                 1.6266,                 1.2683,                 1.2436,                0.68366,                0.61098,                0.62964,                0.33649,                 1.6646,                 1.3841,                 1.3265,                0.00101,                0.00101,                0.00101
                     23,                 1.6191,                 1.2482,                  1.236,                 0.6229,                0.60382,                0.62146,                0.33668,                 1.6582,                 1.3596,                 1.2956,              0.0009605,              0.0009605,              0.0009605
                     24,                 1.6396,                 1.2291,                 1.2429,                0.56859,                0.62597,                0.61244,                0.31405,                 1.6714,                  1.564,                 1.3209,               0.000911,               0.000911,               0.000911
                     25,                 1.6118,                 1.2407,                 1.2282,                 0.6391,                0.54893,                0.60621,                0.32166,                 1.6714,                 1.4295,                 1.2952,              0.0008615,              0.0008615,              0.0008615
                     26,                 1.5945,                 1.2457,                 1.2281,                 0.6695,                0.58473,                0.65432,                0.33459,                  1.637,                 1.3263,                 1.3006,               0.000812,               0.000812,               0.000812
                     27,                 1.5678,                 1.2072,                 1.2197,                0.62043,                0.61337,                0.65298,                0.33453,                  1.672,                 1.3329,                 1.3123,              0.0007625,              0.0007625,              0.0007625
